ID,URL,Title,Difficulty
139,https://leetcode.com/problems/word-break,Word Break,Medium
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard
472,https://leetcode.com/problems/concatenated-words,Concatenated Words,Hard
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard
3434,https://leetcode.com/problems/maximum-frequency-after-subarray-operation,Maximum Frequency After Subarray Operation,Medium
746,https://leetcode.com/problems/min-cost-climbing-stairs,Min Cost Climbing Stairs,Easy
337,https://leetcode.com/problems/house-robber-iii,House Robber III,Medium
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard
1373,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree,Maximum Sum BST in Binary Tree,Hard
2163,https://leetcode.com/problems/minimum-difference-in-sums-after-removal-of-elements,Minimum Difference in Sums After Removal of Elements,Hard
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium
97,https://leetcode.com/problems/interleaving-string,Interleaving String,Medium
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard
2979,https://leetcode.com/problems/most-expensive-item-that-can-not-be-bought,Most Expensive Item That Can Not Be Bought,Medium
3317,https://leetcode.com/problems/find-the-number-of-possible-ways-for-an-event,Find the Number of Possible Ways for an Event,Hard
3610,https://leetcode.com/problems/minimum-number-of-primes-to-sum-to-target,Minimum Number of Primes to Sum to Target,Medium
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard
1277,https://leetcode.com/problems/count-square-submatrices-with-all-ones,Count Square Submatrices with All Ones,Medium
396,https://leetcode.com/problems/rotate-function,Rotate Function,Medium
174,https://leetcode.com/problems/dungeon-game,Dungeon Game,Hard
403,https://leetcode.com/problems/frog-jump,Frog Jump,Hard
486,https://leetcode.com/problems/predict-the-winner,Predict the Winner,Medium
790,https://leetcode.com/problems/domino-and-tromino-tiling,Domino and Tromino Tiling,Medium
2272,https://leetcode.com/problems/substring-with-largest-variance,Substring With Largest Variance,Hard
96,https://leetcode.com/problems/unique-binary-search-trees,Unique Binary Search Trees,Medium
871,https://leetcode.com/problems/minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,Hard
2355,https://leetcode.com/problems/maximum-number-of-books-you-can-take,Maximum Number of Books You Can Take,Hard
3459,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,Length of Longest V-Shaped Diagonal Segment,Hard
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard
132,https://leetcode.com/problems/palindrome-partitioning-ii,Palindrome Partitioning II,Hard
646,https://leetcode.com/problems/maximum-length-of-pair-chain,Maximum Length of Pair Chain,Medium
1547,https://leetcode.com/problems/minimum-cost-to-cut-a-stick,Minimum Cost to Cut a Stick,Hard
1723,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,Find Minimum Time to Finish All Jobs,Hard
2035,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,Partition Array Into Two Arrays to Minimize Sum Difference,Hard
1478,https://leetcode.com/problems/allocate-mailboxes,Allocate Mailboxes,Hard
2222,https://leetcode.com/problems/number-of-ways-to-select-buildings,Number of Ways to Select Buildings,Medium
2262,https://leetcode.com/problems/total-appeal-of-a-string,Total Appeal of A String,Hard
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium
1035,https://leetcode.com/problems/uncrossed-lines,Uncrossed Lines,Medium
1155,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum,Number of Dice Rolls With Target Sum,Medium
1255,https://leetcode.com/problems/maximum-score-words-formed-by-letters,Maximum Score Words Formed by Letters,Hard
1395,https://leetcode.com/problems/count-number-of-teams,Count Number of Teams,Medium
